id_exploitation,region,culture_principale,type_sol,type_stockage,superficie_ha,distance_marche_km,pluviometrie_mm,age_exploitant,irrigation,formation_recue,delai_avant_vente_j,reclamation_appui_urgence,perte_elevee
EXP00001,Kara,manioc,sableux,magasin communautaire,2.63,12.0,671.0,62,0,0,1.0,0,0
EXP00002,Plateaux,sorgho,hydromorphe,case traditionnelle,0.61,46.8,1009.0,61,0,0,7.0,0,0
EXP00003,Kara,sorgho,ferrugineux,magasin communautaire,1.34,,1075.0,53,0,1,21.0,0,0
EXP00004,Centrale,igname,ferrugineux,case traditionnelle,1.95,9.5,,32,0,0,8.0,0,0
EXP00005,Maritime,sorgho,hydromorphe,case traditionnelle,2.67,23.1,534.0,38,0,0,22.0,1,1
EXP00006,Savanes,maïs,ferrugineux,magasin communautaire,5.66,20.4,,53,0,1,7.0,0,0
EXP00007,Kara,manioc,hydromorphe,magasin communautaire,2.27,15.9,1275.0,32,0,0,9.0,0,0
EXP00008,Kara,maïs,hydromorphe,aucun,1.15,2.5,1403.0,54,0,1,16.0,0,0
EXP00009,Maritime,maïs,hydromorphe,silo métallique,3.35,10.8,851.0,45,0,0,25.0,0,0
EXP00010,Plateaux,igname,argileux,aucun,1.06,38.9,909.0,42,0,1,10.0,1,1
EXP00011,Plateaux,riz,argileux,silo métallique,3.62,6.8,749.0,37,0,1,24.0,0,0
EXP00012,Savanes,igname,sableux,silo métallique,1.58,6.6,1102.0,59,0,0,25.0,0,0
EXP00013,Centrale,manioc,ferrugineux,case traditionnelle,7.44,33.2,1317.0,43,0,0,3.0,0,0
EXP00014,Kara,manioc,hydromorphe,magasin communautaire,1.85,12.0,1251.0,34,1,0,19.0,0,0
EXP00015,Plateaux,manioc,sableux,case traditionnelle,0.84,2.7,,38,0,1,0.0,1,0
EXP00016,Maritime,maïs,sableux,case traditionnelle,2.73,5.1,749.0,44,0,0,7.0,0,0
EXP00017,Centrale,maïs,hydromorphe,case traditionnelle,2.36,8.2,952.0,51,0,0,45.0,0,0
EXP00018,Maritime,manioc,hydromorphe,aucun,2.68,15.3,1281.0,70,0,1,21.0,0,0
EXP00019,Kara,maïs,hydromorphe,silo métallique,2.04,,854.0,36,0,0,22.0,0,0
EXP00020,Centrale,igname,sableux,aucun,2.98,6.4,514.0,28,1,0,10.0,1,0
EXP00021,Kara,maïs,ferrugineux,aucun,2.91,11.2,864.0,69,0,0,42.0,1,1
EXP00022,Plateaux,maïs,sableux,aucun,1.15,6.8,883.0,26,0,1,,0,0
EXP00023,Savanes,sorgho,ferrugineux,case traditionnelle,6.33,40.4,513.0,65,0,0,29.0,1,1
EXP00024,Savanes,maïs,sableux,aucun,1.87,4.9,1006.0,26,0,1,16.0,0,0
EXP00025,Kara,igname,argileux,aucun,1.02,9.1,1071.0,37,0,0,36.0,0,0
EXP00026,Maritime,riz,sableux,aucun,2.89,8.1,1396.0,70,0,1,20.0,0,0
EXP00027,Plateaux,maïs,hydromorphe,case traditionnelle,2.24,8.2,630.0,27,0,0,5.0,0,0
EXP00028,Maritime,riz,argileux,case traditionnelle,5.8,5.4,1125.0,27,0,0,8.0,0,0
EXP00029,Maritime,riz,sableux,aucun,2.83,31.5,1182.0,50,1,1,8.0,0,0
EXP00030,Centrale,sorgho,hydromorphe,case traditionnelle,1.43,49.1,,28,0,1,16.0,0,0
EXP00031,Kara,sorgho,ferrugineux,case traditionnelle,3.07,16.7,,20,0,0,3.0,0,0
EXP00032,Savanes,riz,ferrugineux,magasin communautaire,3.02,15.7,694.0,55,0,0,22.0,0,0
EXP00033,Plateaux,manioc,ferrugineux,case traditionnelle,2.78,3.3,973.0,68,0,0,21.0,1,1
EXP00034,Plateaux,maïs,ferrugineux,case traditionnelle,3.03,31.1,972.0,58,0,0,17.0,0,0
EXP00035,Plateaux,riz,sableux,aucun,0.98,6.8,816.0,69,0,1,17.0,0,0
EXP00036,Maritime,igname,sableux,aucun,3.96,2.9,1260.0,46,0,1,7.0,0,0
EXP00037,Maritime,manioc,argileux,aucun,3.47,18.8,854.0,50,0,0,,0,0
EXP00038,Plateaux,riz,sableux,case traditionnelle,3.83,25.8,496.0,70,0,0,22.0,0,0
EXP00039,Maritime,manioc,argileux,case traditionnelle,2.02,30.9,896.0,45,0,0,12.0,0,0
EXP00040,Centrale,sorgho,sableux,magasin communautaire,2.01,9.1,1065.0,21,0,0,20.0,0,0
EXP00041,Plateaux,igname,hydromorphe,magasin communautaire,3.35,8.3,1032.0,31,0,0,70.0,0,0
EXP00042,Kara,maïs,sableux,case traditionnelle,2.17,14.8,,51,0,1,92.0,0,0
EXP00043,Kara,maïs,hydromorphe,silo métallique,2.22,11.1,1309.0,63,0,0,20.0,0,0
EXP00044,Plateaux,manioc,hydromorphe,aucun,4.41,19.0,682.0,50,0,0,,0,0
EXP00045,Kara,manioc,hydromorphe,magasin communautaire,4.2,14.9,848.0,40,0,1,15.0,0,0
EXP00046,Kara,manioc,sableux,case traditionnelle,3.49,6.4,1321.0,35,0,0,11.0,0,0
EXP00047,Plateaux,maïs,hydromorphe,case traditionnelle,6.66,31.5,478.0,54,0,0,24.0,1,1
EXP00048,Plateaux,manioc,sableux,case traditionnelle,2.87,19.1,937.0,65,0,0,10.0,1,1
EXP00049,Centrale,manioc,argileux,case traditionnelle,1.28,25.4,1245.0,33,0,0,20.0,0,0
EXP00050,Maritime,manioc,hydromorphe,magasin communautaire,2.08,6.5,1241.0,47,1,0,20.0,0,0
EXP00051,Maritime,riz,hydromorphe,magasin communautaire,1.83,18.7,1108.0,41,0,0,54.0,1,0
EXP00052,Maritime,riz,hydromorphe,magasin communautaire,1.61,22.3,1115.0,31,0,0,17.0,1,1
EXP00053,Kara,riz,argileux,aucun,3.15,,700.0,40,0,0,11.0,0,1
EXP00054,Centrale,sorgho,ferrugineux,case traditionnelle,3.6,5.3,1280.0,23,0,0,28.0,0,0
EXP00055,Kara,riz,argileux,case traditionnelle,3.86,13.6,662.0,46,0,0,20.0,0,0
EXP00056,Kara,manioc,hydromorphe,case traditionnelle,2.55,20.9,676.0,24,0,0,37.0,1,1
